Sl No,Organisation Name ,InstituteName,InstituteAddress,InstituteCode/A ffiliation No,School Type,PhoneNumber,
221,,Presidency School(kasturinagar),"c.a. no. 7p1 a 3rd cross, ngef (east) layout, kasturinagar, bangale
,560043",830294,,Secondary School,080 25425597
222,,PRISTINE PUBLIC SCHOOL,"NO 3 H COLONY IST STAGE INDIRA NAGAR BANGALORE KARNTAKA ,560038",830132,,Secondary School,080 25214999
223,,PSBB Learning Leadership Academy,"#52, Sahastra Dipika Road, Lakshimpura, Off Bannerghatta Main Road, Distt Bangalore, Karnataka ,562106",830224,,Senior Secondary,080 27837021
224,,RADCLIFFE SCHOOL,"15th Mile Stone, Gottigere, Bannerghatta Road, BENGALURU
,560083",830588,,Senior Secondary,080 40969219
225,,RASHTRIYA MILITARY SCHOOL,"POST BOX NO.250 RICHMOND TOWN P.O BANGALORE KARNATAKA ,560025",880002,,Senior Secondary,080 25554972
226,,RASHTROTHANA VIDYA KENDRA(THANISANDRA MAIN ROAD),"115 THANISANDRA MAIN ROAD ARKAVATHY LAYOUT BANGALORE KARNATAKA
,560045",830161,,Secondary School,080 28465972
227,,Rashtrotthana Vidya Kendra(Banashankari 6th Phase 8th Block),"CA#2, Banashankari 6th Phase 8th Block Banashankari, Bangalore-60
,560060",830483,,Senior Secondary,91 9945582661
228,,"Ravindra Bharathi Global School(II Sector, HSR Layout)","Samasandra Palya, Near Sobha Daffodil, II Sector, HSR Layout, Bengaluru – 560102 ,560102",830518,,Secondary School,080 65313333
229,,ravindra bharathi global school(Marathahalli),"sy-no:92/1,7th cross ,tulasi theater road,marathahalli,bangale-560037
,560037",830507,,Secondary School,080 65593333
230,,rishi sanskruti vidya,"shale gramine shake rishi kshetra doddamaralawadii bangalore rural distt karnataka ,562121",830125,,Secondary School,080 26631909
231,,"RMS INTERNATIONAL SCHOOL(SRINIVASA INDUSTRIAL ESTATE, KANAKAPURA ROAD)","#18, SRINIVASA INDUSTRIAL ESTATE, KANAKAPURA ROAD, BANGALORE -62 ,560062",830372,,Secondary School,080 41250487
232,,"RNS INTERNATIONAL SCHOOL(RNSIT CAMPUS, UTTARAHALLI)","RNSIT CAMPUS, UTTARAHALLI-KENGERI MAIN ROAD, CHANNASANDRA, R.R NAGAR POST, BANGALORE-98
,560098",830684,,Senior Secondary,080 28612003
233,,Royal International Public School,"Sy.No. 1/2, 1/3, Mallapura Villege, Kasaba Hobli, Nelamangala Taluk, Bangalore Rural Dist. ,560011",830466,,Senior Secondary,"080
9945011108"
234,,ROYALE CONCODE INTRNATIONAL CHOOL(HONGASANDRA),"81/1 BEGUR MAIN RD HONGASANDRA ,560068",830805,,Secondary School,080 25742060
235,,ROYALE CONCORDE INTERNATIONAL SCHOOL(HRBR LAYOUT KALYA NAGAR),"6TH MAIN ROAD IIND BLOCK HRBR LAYOUT KALYA NAGAR BANGALORE KARNATAKA
,560043",830135,,Senior Secondary,080 25435454
236,,RPES Jnana Saraswathi Public School,"CA-2, 69th Cross, 5th Block, Rajajinagar, Bangalore - 560010
,560010",830825,,Senior Secondary,"0484 080-
2814855499720
99440"
237,,RYAN INTERNATIONAL SCHOOL,"SURVEY NO: 13, GOLLAHALLI, OPP. CONFIDENT CASCADE
,560083",830689,,Senior Secondary,"080
08027828213"
238,,SG INTERNATIONAL PUBLIC SCHOOL,"8TH MAIN SARASWATHIPURAM MAHALAXMI LAYOUT BANGALORE KARNTAKA
,560086",830144,,Senior Secondary,080 23497428
239,,SJR PUBLIC SCHOOL,"CA SITE NO 3 (P) 5TH CROSS 7TH MAIN ROAD, IST STAGE III BLOCK, BHR LAYOUT BANGLORE KARNATAKA ,43",830123,,Senior Secondary,80 25432147
240,,SV CENTRAL SCHOOL,"VIDYANAGAR, YELAHANKA, NEAR INTERNATIONAL AIRPORT, NH 7, BANGALORE
,562157",830329,,Secondary School,"080
9740006262"
241,,SV Sunrise English Primary School,"No. 93, Hegganahalli Cross, Srigandhada Kaval, Vishwaneedam Post, Peena II Stage, Bangalore.
,560091",830445,,Senior Secondary,080 28365429
242,,SJES CENTRAL SCHOOL,"Old Madras Road, Medahalli, Virgo Nagar Post, Bangalore . ,560049",830258,,Secondary School,080 6565597
243,,S.V.S Educational Academy,"Sarjapura Main Road, Sy No:188/3
& 188/4, Near Dommasandra Circle, Post Dommasandra, Bangalore - 562125. ,562125",830598,,Senior Secondary,"9739
9739474900"
244,,SAANDIPINI HIGH TECH SCHOOL,"# 40 RING ROAD NAGADEVANAHALLI JANANABHARATHI PO BANGALORE KARNATAKA
,560056",830168,,Secondary School,080 28486827
245,,SADHGURU SAINATH INTERNATIONAL SCHOOL,"SY NO. 165, KUDLU VILLAGE, MADIWALA POST, HOSUR ROAD, ,560068",830251,,Secondary School,080 64536855
246,,SAI CITY INTERNATIONAL SCHOOL,"AGASATHIMMANA HALLI INDLAVADI CROSS,JIGANI - ANEKAL ROAD ANEKAL BENGALURU 562106 ,562106",830496,,Secondary School,"080
9243602463"
247,,Saint Sophia Convent School,"C.A. No. 6, 10th Block, 2nd Stage, Nagarabhavi, Bangalore - 560072.
,560072",830655,,Secondary School,080 64554196
248,,SANMARG CENTRAL SCHOOL,"17&18 8th main Srinidhi Layout Kothanur bangalore 560062
,560062",830336,,Secondary School,080 41207974
249,,SCHOOL OF INDIA,"Anekal Road ,560083",830681,,Secondary School,7204051947
250,,SFS ACADEMY,"HEBBAGODI, ELECTRONICS CITY PO., HOSUR MAIN ROAD
,560100",830745,,Secondary School,080 27832288
251,,SHARDA VIDYA MANDIRA,"AYYAPPA SWAMI TEMPLE ROAD, KADUGUDI, BANGALORE, KARNATAKA
,560067",830185,,Secondary School,080 28457461
252,,SHARDA VIDYA NIKETAN PUBLIC SCHOOL,"#14, SHARDA HILLS HESARA GATTA ROAD NEAR M S PALA CIRCLE VIDYA RANYAPURA BANGALORE KARNATAKA
,560094",830165,,Secondary School,080 5771422
253,,Shiksha Sagar High School,"No.77, 5th Main, Postal Colony, Sanjay nagar ,560094",830462,,Secondary School,080 23411467
254,,SHREE RAM PUBLIC SCHOOL,"VH GARDENS VH CHIKKABIDARAKALLU, NAGASANDRA POST, BANGALORE, KARNATAKA
,560073",830184,,Secondary School,080 22791309
255,,SHREE SKANDA CENTRAL SCHOOL,"27, ITTAMADU AREHALLI MAIN ROAD NEAR AGS LAYOUT, DISTT BANGALORE, KARNATAKA ,560061",830244,,Secondary School,080 65469750
256,,"Shri Ram Global School, Whitefield","Sy No. 7 & 8, Samethanahalli
Naganayakanakote, ,560067",830720,,Secondary School,"080
9916769990"
257,,Siddartha Public School,"No.1, Chowdaiah Block, R.T. Nagar, Bangalore - 560 032
,560032",830554,,Senior Secondary,080 23336093
258,,SILICON CITY ACADEMY OF SECONDARY EDUCATION,"KUMAR NURSERY NEW BANK COLONY KONANAKUNTE BANGALORE KARNTAKA
,560062",830133,,Senior Secondary,080 26323953
259,,Silver Spring International School,"No. 39/1, Vinayanagar, Chikkabanavara, Hesarghatta Road, Bangalore. ,560090",830667,,Secondary School,080 65301444
260,,SINDHI HIGH SCHOOL(KEMPAPURA HEBBAL),"KEMPAPURA HEBBAL BANGALORE KARNATAKA
,560024",830090,,Secondary School,080 41178289
261,,SINDHI HIGH SCHOOL(KUMARA KRUPA ROAD),"10/7 KUMARA KRUPA ROAD BANGALORE KARNATAKA
,560001",830006,,Secondary School,080 22261509
262,,Smt. Kamala Bai Educational Institution,"Connaught Road,Queen's Road Cross, Bangalore, Karnataka- 560052 ,560052",830360,,Secondary School,080 22341011
263,,SOUNDARYA CENTRAL SCHOOL,"Soundarya Nagara, Sidedahalli, Nagasandra Post, Bangalore.
,560073",830587,,Secondary School,080 28391115
264,,SREE AYYAPPA EDUCATION CENTRE,"9/15 MEDARHALLI CHIKBHANUVARA YESHWANTHAPUR HOBLI BANGALORE KARNATAKA
,577602",830139,,Secondary School,080 23253939
265,,SREE SARASWATHI VIDYA MANDIRA ASSOCIATION,"NO 9, VANIVILAS ROAD, V.V.PURAM BANGALORE
,560004",830845,,Secondary School,080-26611725
266,,Sree Swamy Vivekananda Higher Primary School,"Atturu Layout, Near Housing Board Colony, Yelahanka, Bangalore 560064. ,560064",830843,,Secondary School,8073024629
267,,SRI AUROBINDO MEMORIAL SCHOOL,"13-A MAIN ROAD 22ND CROSS BANASHANKARI II- STAGE BANGALORE KARNATAKA
,560070",830002,,Secondary School,080 26716666
268,,Sri Aurobindo Public School,"No. 206,B, Canarabank Layout, Sri Ammembal Subbarao Pai Nagar, Bangalore-560097 ,560097",830673,,Secondary School,8023626686
